Data,N,Pearson Train,Spearman Train,Pearson Test,Spearman Test,,,,,,,,
bamboo,1,0.511523375,0.573437321,0.226704594,0.210093769,,,,,,,,
bamboo,1,0.465810354,0.572125782,0.182453065,0.147912455,,,,,,,,
bamboo,1,0.486900721,0.573843112,0.149599487,0.147451564,,,,,,,,
bamboo,1,0.518146385,0.563935793,0.339819763,0.328181627,,,,,,,,
bamboo,1,0.492760576,0.561190986,0.158389653,0.179969316,,,,,,,,
bamboo,1,0.456219296,0.572804941,0.096003612,0.082082889,,,,,,,,
bamboo,2,0.547176905,0.652130186,0.300413382,0.25235685,0.535684126,0.658667143,0.290741263,0.269048145,,,,
bamboo,2,0.521870929,0.651850905,0.275069522,0.21704044,,,,,,,,
bamboo,2,0.536329749,0.639390676,0.243754897,0.241711951,,,,,,,,
bamboo,2,0.524505049,0.673417567,0.302805451,0.291254122,,,,,,,,
bamboo,2,0.560803611,0.652587624,0.284733888,0.243827604,,,,,,,,
bamboo,2,0.536821427,0.650519803,0.292065286,0.272413906,,,,,,,,
bamboo,2,0.520287286,0.677186633,0.229407944,0.23223316,,,,,,,,
bamboo,2,0.535328021,0.668368089,0.331490594,0.322134524,,,,,,,,
bamboo,2,0.542782566,0.661892387,0.33782531,0.325260804,,,,,,,,
bamboo,2,0.530935719,0.659327565,0.309846361,0.292248088,,,,,,,,
bamboo,3,0.559119167,0.692647908,0.293325596,0.252140287,0.561666424,0.703657115,0.291815729,0.259006779,,,,
bamboo,3,0.580159377,0.703235951,0.328327765,0.308372853,,,,,,,,
bamboo,3,0.56959644,0.720367343,0.351173733,0.317259083,,,,,,,,
bamboo,3,0.544626818,0.709238129,0.308899691,0.283858421,,,,,,,,
bamboo,3,0.555398862,0.692285852,0.225510779,0.197560886,,,,,,,,
bamboo,3,0.565632364,0.704489843,0.275299634,0.274596193,,,,,,,,
bamboo,3,0.563930715,0.713877642,0.261322009,0.230000896,,,,,,,,
bamboo,3,0.568586115,0.696367674,0.278643067,0.221648768,,,,,,,,
bamboo,3,0.555148264,0.702019187,0.273602973,0.234926314,,,,,,,,
bamboo,3,0.554466116,0.70204162,0.322052043,0.269704093,,,,,,,,
bamboo,4,0.567264279,0.720678882,0.311981948,0.315559897,0.562370138,0.730044561,0.30805279,0.277836655,,,,
bamboo,4,0.567150669,0.732576899,0.367557672,0.326698157,,,,,,,,
bamboo,4,0.554014436,0.728696886,0.279148489,0.231816092,,,,,,,,
bamboo,4,0.554822245,0.73449256,0.300813674,0.301499968,,,,,,,,
bamboo,4,0.554191161,0.733884786,0.325029879,0.303626726,,,,,,,,
bamboo,4,0.568406616,0.731780098,0.312898148,0.281354066,,,,,,,,
bamboo,4,0.56883433,0.73234431,0.324303348,0.280276804,,,,,,,,
bamboo,4,0.553059675,0.73325258,0.290775556,0.268482456,,,,,,,,
bamboo,4,0.568207337,0.730970516,0.273928783,0.24274416,,,,,,,,
bamboo,4,0.56775063,0.721768092,0.294090403,0.226308221,,,,,,,,
bamboo,5,0.558092819,0.738147984,0.330760754,0.31539331,0.577327383,0.745528521,0.310670349,0.275624528,,,,
bamboo,5,0.575161279,0.744481611,0.289595114,0.254666854,,,,,,,,
bamboo,5,0.56585036,0.745838451,0.280860224,0.218789602,,,,,,,,
bamboo,5,0.586148075,0.748193378,0.338743911,0.317514516,,,,,,,,
bamboo,5,0.598602108,0.748879058,0.35007648,0.288617252,,,,,,,,
bamboo,5,0.566444093,0.749840019,0.285488561,0.24792564,,,,,,,,
bamboo,5,0.573977819,0.74460134,0.350313116,0.316381725,,,,,,,,
bamboo,5,0.583372457,0.745849232,0.285478072,0.261735689,,,,,,,,
bamboo,5,0.567785325,0.742107555,0.27833287,0.236263949,,,,,,,,
bamboo,5,0.597839493,0.747346581,0.317054388,0.298956742,,,,,,,,
bamboo,10,0.607973956,0.802326883,0.325621689,0.334434186,0.60393393,0.799008012,0.324619524,0.302159014,,,,
bamboo,10,0.610892576,0.799470955,0.285749097,0.25661592,,,,,,,,
bamboo,10,0.599580632,0.799209586,0.315847477,0.289272494,,,,,,,,
bamboo,10,0.605711192,0.795648763,0.325361322,0.308074595,,,,,,,,
bamboo,10,0.593186941,0.797915176,0.313943081,0.309140751,,,,,,,,
